ticker,trades,wins,losses,win_rate,total_return,average_return,status,source,time_filter,allowed_times
AAPL,1,0,1,0.0,-2.05,-2.05,LOW_SAMPLE,NEWS,NO,
RVI,0,0,0,0.0,0.0,0.0,NO_TRADES,NEWS,,
INTC,4,4,0,100.0,8.58,2.15,PROMISING,NEWS,YES,14:40
TSLA,3,3,0,100.0,6.55,2.18,PROMISING,NEWS,YES,14:10
BLMN,12,10,2,83.33,18.19,1.52,PROMISING,NEWS,YES,"13:35, 14:25, 14:35"
GSIT,9,7,2,77.78,15.72,1.75,PROMISING,NEWS,YES,"13:35, 13:40, 13:45"
BLLN,4,3,1,75.0,5.29,1.32,PROMISING,NEWS,YES,13:45
POET,4,3,1,75.0,4.39,1.1,PROMISING,NEWS,YES,18:25
DXYZ,7,5,2,71.43,13.24,1.89,PROMISING,NEWS,YES,13:40
FLNC,6,4,2,66.67,5.28,0.88,PROMISING,NEWS,YES,15:15
RKLB,3,2,1,66.67,3.55,1.18,PROMISING,NEWS,YES,14:45
EOSE,3,2,1,66.67,1.77,0.59,PROMISING,NEWS,YES,13:35
RDW,8,5,3,62.5,4.7,0.59,PROMISING,NEWS,YES,"13:50, 14:05"
PS,4,2,2,50.0,-0.59,-0.15,WEAK,NEWS,NO,
WOLF,22,11,11,50.0,-2.32,-0.11,WEAK,NEWS,NO,
HIMX,13,6,7,46.15,0.0,0.0,WEAK,NEWS,NO,
EVC,7,3,4,42.86,-3.17,-0.45,WEAK,NEWS,NO,
INOD,14,6,8,42.86,-4.94,-0.35,WEAK,NEWS,NO,
NDAQ,3,1,2,33.33,-2.11,-0.7,WEAK,NEWS,NO,
NFLX,4,1,3,25.0,-4.31,-1.08,WEAK,NEWS,NO,
