ticker,headline,summary,source,url,published,article_score,gemini_sentiment,gemini_confidence,gemini_reason,match_confidence,match_reason,last_price,avg_volume
AAPL,"Trump invites Elon Musk, Tim Cook, Larry Fink and other CEOs to join China trip for Xi summit","Trump invited Tesla's Elon Musk, Apple's Tim Cook and Blackrock's Larry Fink to join his China trip for talks with Xi Jinping on trade, AI and geopolitics.",CNBC,https://www.cnbc.com/2026/05/11/trump-ceos-elon-musk-tim-cook-larry-fink-xi-china-summit.html,2026-05-11T15:54:52+00:00,0,POSITIVE,85,Tim Cook's inclusion in high-level trade talks with China is viewed as a positive signal for Apple's supply chain stability and market access in the region.,HIGH,company_name,292.5050048828125,51161786.7
TSLA,"Trump invites Elon Musk, Tim Cook, Larry Fink and other CEOs to join China trip for Xi summit","Trump invited Tesla's Elon Musk, Apple's Tim Cook and Blackrock's Larry Fink to join his China trip for talks with Xi Jinping on trade, AI and geopolitics.",CNBC,https://www.cnbc.com/2026/05/11/trump-ceos-elon-musk-tim-cook-larry-fink-xi-china-summit.html,2026-05-11T15:54:52+00:00,0,POSITIVE,85,Inclusion in a high-level diplomatic trade delegation to China is viewed as a significant positive for Tesla's operations and regulatory standing in its key international market.,HIGH,company_name,440.9198913574219,53524158.0
ORCL,Hassett says AI isn't costing anybody their job right now — but tech layoffs keep coming,"Tech companies have continued to announce layoffs tied to AI, including recent cuts from Amazon, Meta and Oracle.",CNBC,https://www.cnbc.com/2026/05/11/trump-white-house-hassett-ai-jobs.html,2026-05-11T14:50:11+00:00,-3,NEGATIVE,85,"The headline explicitly links Oracle to recent layoffs, which typically signals internal cost-cutting measures or restructuring that can negatively impact short-term investor sentiment.",HIGH,company_name,194.52999877929688,24875708.4
NDAQ,"‘The haters will hate’: Dan Ives predicts Nasdaq 30,000 as AI rally expands",A solid tech earnings season has seen investor jitters earlier this year evaporate,CNBC,https://www.cnbc.com/2026/05/11/the-haters-will-hate-dan-ives-predicts-nasdaq-rally.html,2026-05-11T12:53:03+00:00,2,POSITIVE,85,"The headline features a bullish long-term price target for the Nasdaq index from a prominent analyst, which typically boosts investor sentiment and trading volume for the exchange operator (NDAQ).",HIGH,company_name,88.16500091552734,3116538.6
Q,Here are the 2 big things we're watching in the stock market in the week ahead,"Qnity Electronics reports earnings, and April inflation data is due out.",CNBC,https://www.cnbc.com/2026/05/10/here-are-the-2-big-things-were-watching-in-the-stock-market-in-the-week-ahead.html,2026-05-10T15:46:51+00:00,1,NEUTRAL,90,"The headline mentions an upcoming earnings report, which is a neutral event until the actual results are released.",HIGH,company_name,154.4499969482422,1625003.7
NFLX,"With Netflix new ad-free standard plan at $20, streaming's tipping point into old TV is getting closer",The economics of streaming are nearing the point where cheaper plans with ads make as much if not more money for services like Netflix.,CNBC,https://www.cnbc.com/2026/05/10/netflix-20-dollar-streaming-plan-price.html,2026-05-10T13:00:01+00:00,0,POSITIVE,75,The shift toward ad-supported tiers is viewed as a revenue-maximizing strategy that improves unit economics and long-term profitability for Netflix.,HIGH,company_name,86.21499633789062,33180200.7
WAT,Qatar says cargo vessel coming from Abu Dhabi attacked in its waters - Reuters,Qatar says cargo vessel coming from Abu Dhabi attacked in its waters  Reuters,Reuters,https://news.google.com/rss/articles/CBMitAFBVV95cUxPSE96bUZWYWdjX3dMWjhTdkY5eWEwOXI1eElSalVKUnFCNmRYVUdBUkY4d2NPd3huN3VndUoyMWFzZDdBMXU5S0l3SjhoYVNBYkMyWUw2Tkd3WEtyWk44czQ3c2YweHBfRnI2UFc3dkFhS0U2bnVXeFJaNFcxcC1kZFB3WGphYWdBSkpxSldNaEhZUVdaU2lZN2RrUjhkSUtYWFFpUDF6UmJUSEhicnJjSXdUT2g?oc=5,2026-05-10T10:24:01+00:00,0,NEUTRAL,95,The ticker WAT (Waters Corporation) is a life sciences company and has no operational or geographic connection to the geopolitical incident involving a cargo vessel in Qatar.,HIGH,company_name,349.8699951171875,1360181.7
TGT,U.S. sanctions companies and individuals in the Middle East and China for helping Iran,"The moves target 11 entities and three individuals based in Iran, China, Belarus and the United Arab Emirates.",CNBC,https://www.cnbc.com/2026/05/09/us-sanctions-entities-in-the-middle-east-and-china-for-helping-iran.html,2026-05-09T10:10:24+00:00,0,NEUTRAL,100,The news pertains to geopolitical sanctions and does not mention Target Corporation (TGT) or have a direct material impact on its retail operations.,HIGH,company_name,119.16500091552734,4303600.2
INTC,"Wall Street sees 'changing of the guard in AI' as Intel, AMD shares soar while Nvidia lags","Intel, AMD and Micron surged double digits this week as investors bet on CPU makers and memory companies powering the next stage of AI",CNBC,https://www.cnbc.com/2026/05/08/wall-street-ai-chip-love-moves-from-nvidia-to-intel-amd-and-micron.html,2026-05-08T19:23:01+00:00,0,POSITIVE,95,The headline explicitly states Intel shares are soaring and investors are betting on the company to power the next stage of AI.,HIGH,company_name,126.62999725341797,163823104.3
AAPL,What an Apple deal to buy Intel chips would mean for the iPhone maker,"Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",CNBC,https://www.cnbc.com/2026/05/08/what-an-apple-deal-to-buy-intel-chips-would-mean-for-the-iphone-maker.html,2026-05-08T18:47:37+00:00,0,NEUTRAL,90,The headline is speculative regarding a potential supply chain shift and does not indicate an immediate material impact on AAPL's stock price.,HIGH,company_name,292.5050048828125,51161786.7
