ticker,article_count,positive_articles,negative_articles,news_score,latest_headline,latest_url,gemini_sentiment,gemini_confidence,gemini_reason,match_confidence,match_reason,last_price,avg_volume,candidate_source,yesterday_return_pct,week_return_pct,status
POET,0,0,0,0,"Yahoo top mover: yesterday 25.34%, week 93.04%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,13.725000381469727,56519588.8,MOVER,25.34,93.04,NEWS_CANDIDATE
RDW,0,0,0,0,"Yahoo top mover: yesterday 8.95%, week 39.60%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,12.061300277709961,25479746.2,MOVER,8.95,39.6,NEWS_CANDIDATE
RKLB,0,0,0,0,"Yahoo top mover: yesterday 10.47%, week 45.08%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,116.51499938964844,25390436.5,MOVER,10.47,45.08,NEWS_CANDIDATE
EOSE,0,0,0,0,"Yahoo top mover: yesterday 10.24%, week 38.40%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,8.829999923706055,21832289.5,MOVER,10.24,38.4,NEWS_CANDIDATE
FLNC,0,0,0,0,"Yahoo top mover: yesterday 10.02%, week 115.57%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,26.579999923706055,14566882.5,MOVER,10.02,115.57,NEWS_CANDIDATE
WOLF,0,0,0,0,"Yahoo top mover: yesterday 10.39%, week 43.13%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,51.439998626708984,7469783.5,MOVER,10.39,43.13,NEWS_CANDIDATE
HIMX,0,0,0,0,"Yahoo top mover: yesterday 19.67%, week 84.17%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,21.290000915527344,6660401.1,MOVER,19.67,84.17,NEWS_CANDIDATE
EVC,0,0,0,0,"Yahoo top mover: yesterday 21.93%, week 128.53%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,8.729999542236328,6233865.4,MOVER,21.93,128.53,NEWS_CANDIDATE
INOD,0,0,0,0,"Yahoo top mover: yesterday 24.61%, week 131.37%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,105.7843017578125,3840608.5,MOVER,24.61,131.37,NEWS_CANDIDATE
DXYZ,0,0,0,0,"Yahoo top mover: yesterday 17.25%, week 66.16%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,64.02010345458984,3642623.3,MOVER,17.25,66.16,NEWS_CANDIDATE
BLMN,0,0,0,0,"Yahoo top mover: yesterday 7.14%, week 54.53%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,8.699899673461914,3438600.8,MOVER,7.14,54.53,NEWS_CANDIDATE
GSIT,0,0,0,0,"Yahoo top mover: yesterday 41.83%, week 53.46%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,11.984999656677246,2001525.4,MOVER,41.83,53.46,NEWS_CANDIDATE
PS,0,0,0,0,"Yahoo top mover: yesterday 14.24%, week 38.99%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,47.54759979248047,1592608.888888889,MOVER,14.24,38.99,NEWS_CANDIDATE
BLLN,0,0,0,0,"Yahoo top mover: yesterday 7.42%, week 38.46%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,99.86009979248047,749311.5,MOVER,7.42,38.46,NEWS_CANDIDATE
RVI,0,0,0,0,"Yahoo top mover: yesterday 17.72%, week 38.54%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,46.06399917602539,611149.0,MOVER,17.72,38.54,NEWS_CANDIDATE
INTC,2,0,0,0,"Wall Street sees 'changing of the guard in AI' as Intel, AMD shares soar while Nvidia lags",https://www.cnbc.com/2026/05/08/wall-street-ai-chip-love-moves-from-nvidia-to-intel-amd-and-micron.html,POSITIVE,95,The headline explicitly states Intel shares are soaring and investors are betting on the company to power the next stage of AI.,HIGH,company_name,126.62999725341797,163823104.3,NEWS,,,NEWS_CANDIDATE
TSLA,1,0,0,0,"Trump invites Elon Musk, Tim Cook, Larry Fink and other CEOs to join China trip for Xi summit",https://www.cnbc.com/2026/05/11/trump-ceos-elon-musk-tim-cook-larry-fink-xi-china-summit.html,POSITIVE,85,Inclusion in a high-level diplomatic trade delegation to China is viewed as a significant positive for Tesla's operations and regulatory standing in its key international market.,HIGH,company_name,440.9198913574219,53524158.0,NEWS,,,NEWS_CANDIDATE
AAPL,2,0,0,0,"Trump invites Elon Musk, Tim Cook, Larry Fink and other CEOs to join China trip for Xi summit",https://www.cnbc.com/2026/05/11/trump-ceos-elon-musk-tim-cook-larry-fink-xi-china-summit.html,POSITIVE,85,Tim Cook's inclusion in high-level trade talks with China is viewed as a positive signal for Apple's supply chain stability and market access in the region.,HIGH,company_name,292.5050048828125,51161786.7,NEWS,,,NEWS_CANDIDATE
NDAQ,1,1,0,2,"‘The haters will hate’: Dan Ives predicts Nasdaq 30,000 as AI rally expands",https://www.cnbc.com/2026/05/11/the-haters-will-hate-dan-ives-predicts-nasdaq-rally.html,POSITIVE,85,"The headline features a bullish long-term price target for the Nasdaq index from a prominent analyst, which typically boosts investor sentiment and trading volume for the exchange operator (NDAQ).",HIGH,company_name,88.16500091552734,3116538.6,NEWS,,,NEWS_CANDIDATE
NFLX,1,0,0,0,"With Netflix new ad-free standard plan at $20, streaming's tipping point into old TV is getting closer",https://www.cnbc.com/2026/05/10/netflix-20-dollar-streaming-plan-price.html,POSITIVE,75,The shift toward ad-supported tiers is viewed as a revenue-maximizing strategy that improves unit economics and long-term profitability for Netflix.,HIGH,company_name,86.21499633789062,33180200.7,NEWS,,,NEWS_CANDIDATE
TGT,1,0,0,0,U.S. sanctions companies and individuals in the Middle East and China for helping Iran,https://www.cnbc.com/2026/05/09/us-sanctions-entities-in-the-middle-east-and-china-for-helping-iran.html,NEUTRAL,100,The news pertains to geopolitical sanctions and does not mention Target Corporation (TGT) or have a direct material impact on its retail operations.,HIGH,company_name,119.16500091552734,4303600.2,NEWS,,,SKIP
FLR,1,1,0,1,Stock pullbacks can be an opportunity to make your money back and then some. Here's how,https://www.cnbc.com/2026/05/08/stock-pullbacks-can-be-an-opportunity-to-make-your-money-back-and-then-some-heres-how.html,NEGATIVE,100,The stock is experiencing a significant 15% pullback following its Q1 2026 earnings release.,HIGH,company_name,43.415000915527344,3406501.5,NEWS,,,SKIP
WAT,1,0,0,0,Qatar says cargo vessel coming from Abu Dhabi attacked in its waters - Reuters,https://news.google.com/rss/articles/CBMitAFBVV95cUxPSE96bUZWYWdjX3dMWjhTdkY5eWEwOXI1eElSalVKUnFCNmRYVUdBUkY4d2NPd3huN3VndUoyMWFzZDdBMXU5S0l3SjhoYVNBYkMyWUw2Tkd3WEtyWk44czQ3c2YweHBfRnI2UFc3dkFhS0U2bnVXeFJaNFcxcC1kZFB3WGphYWdBSkpxSldNaEhZUVdaU2lZN2RrUjhkSUtYWFFpUDF6UmJUSEhicnJjSXdUT2g?oc=5,NEUTRAL,95,The ticker WAT (Waters Corporation) is a life sciences company and has no operational or geographic connection to the geopolitical incident involving a cargo vessel in Qatar.,HIGH,company_name,349.8699951171875,1360181.7,NEWS,,,SKIP
Q,1,1,0,1,Here are the 2 big things we're watching in the stock market in the week ahead,https://www.cnbc.com/2026/05/10/here-are-the-2-big-things-were-watching-in-the-stock-market-in-the-week-ahead.html,NEUTRAL,90,"The headline mentions an upcoming earnings report, which is a neutral event until the actual results are released.",HIGH,company_name,154.4499969482422,1625003.7,NEWS,,,SKIP
ORCL,1,0,1,-3,Hassett says AI isn't costing anybody their job right now — but tech layoffs keep coming,https://www.cnbc.com/2026/05/11/trump-white-house-hassett-ai-jobs.html,NEGATIVE,85,"The headline explicitly links Oracle to recent layoffs, which typically signals internal cost-cutting measures or restructuring that can negatively impact short-term investor sentiment.",HIGH,company_name,194.52999877929688,24875708.4,NEWS,,,SKIP
