ticker,article_count,positive_articles,negative_articles,news_score,latest_headline,latest_url,gemini_sentiment,gemini_confidence,gemini_reason,match_confidence,match_reason,last_price,avg_volume,candidate_source,yesterday_return_pct,week_return_pct,status
GBTG,0,0,0,0,"Yahoo top mover: yesterday 57.50%, week 62.15%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,9.34000015258789,9050830.0,MOVER,57.5,62.15,NEWS_CANDIDATE
AXTI,0,0,0,0,"Yahoo top mover: yesterday 10.42%, week 51.10%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,106.0,14053680.0,MOVER,10.42,51.1,NEWS_CANDIDATE
EGHT,0,0,0,0,"Yahoo top mover: yesterday 10.25%, week 48.62%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,2.690000057220459,1569060.0,MOVER,10.25,48.62,NEWS_CANDIDATE
PACK,0,0,0,0,"Yahoo top mover: yesterday 5.35%, week 43.45%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,5.909999847412109,936790.0,MOVER,5.35,43.45,NEWS_CANDIDATE
TEAM,0,0,0,0,"Yahoo top mover: yesterday 4.82%, week 34.59%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,93.16000366210938,9318850.0,MOVER,4.82,34.59,NEWS_CANDIDATE
KNSA,0,0,0,0,"Yahoo top mover: yesterday 4.25%, week 32.13%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,57.619998931884766,1124630.0,MOVER,4.25,32.13,NEWS_CANDIDATE
CABA,0,0,0,0,"Yahoo top mover: yesterday 30.27%, week 31.62%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,3.8299999237060547,4546080.0,MOVER,30.27,31.62,NEWS_CANDIDATE
RXT,0,0,0,0,"Yahoo top mover: yesterday 13.56%, week 30.94%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,2.009999990463257,5254560.0,MOVER,13.56,30.94,NEWS_CANDIDATE
DXYZ,0,0,0,0,"Yahoo top mover: yesterday 11.01%, week 28.99%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,38.529998779296875,1845920.0,MOVER,11.01,28.99,NEWS_CANDIDATE
AUR,0,0,0,0,"Yahoo top mover: yesterday 5.06%, week 28.54%",,MOMENTUM,100,Added from Yahoo Finance mover screener because the stock was a top recent price mover.,HIGH,yahoo_price_momentum,6.440000057220459,25249470.0,MOVER,5.06,28.54,NEWS_CANDIDATE
